         471783959 function calls (419599747 primitive calls) in 335.788 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      125    0.006    0.000    0.015    0.000 function_base.py:23(linspace)
     2106    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2238    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:318(__exit__)
  535/508    0.005    0.000    0.102    0.000 python_message.py:160(__init__)
    13251    0.005    0.000    0.005    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
     1747    0.005    0.000    0.010    0.000 functools.py:37(update_wrapper)
     9158    0.005    0.000    0.304    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    34697    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    26250    0.005    0.000    0.005    0.000 shape_base.py:20(_atleast_1d_dispatcher)
     2099    0.005    0.000    0.014    0.000 descriptor.py:549(__init__)
2238/2233    0.005    0.000    0.357    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    43816    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     3885    0.005    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
    13370    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     5480    0.004    0.000    0.009    0.000 {built-in method builtins.any}
    13375    0.004    0.000    0.004    0.000 numeric.py:71(_zeros_like_dispatcher)
    13000    0.004    0.000    0.004    0.000 shape_base.py:263(_apply_along_axis_dispatcher)
  1767/61    0.004    0.000    2.770    0.045 {built-in method builtins.__import__}
      326    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     2580    0.004    0.000    0.005    0.000 tf_decorator.py:236(__init__)
     2099    0.004    0.000    0.019    0.000 python_message.py:605(_AddPropertiesForField)
     4761    0.004    0.000    0.013    0.000 encoder.py:420(TagBytes)
     5767    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
    17701    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    14743    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
    10051    0.004    0.000    0.007    0.000 tf_decorator.py:114(_has_tf_decorator_attr)
     2223    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     2216    0.004    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
    13375    0.004    0.000    0.004    0.000 shape_base.py:1167(_tile_dispatcher)
    13000    0.004    0.000    0.004    0.000 index_tricks.py:642(__iter__)
     2662    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:58(__init__)
     2662    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(cb)
     2792    0.004    0.000    0.017    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     9994    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
    10870    0.003    0.000    0.004    0.000 inspect.py:2799(<genexpr>)
      126    0.003    0.000    0.006    0.000 contextlib.py:71(inner)
     4321    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:403(cached)
     1424    0.003    0.000    0.093    0.000 tf_inspect.py:98(getargspec)
      624    0.003    0.000    0.008    0.000 registry.py:44(register)
      125    0.003    0.000    0.008    0.000 shape_base.py:739(array_split)
     7318    0.003    0.000    0.005    0.000 tf_export.py:349(set_attr)
     1340    0.003    0.000    0.115    0.000 tf_export.py:394(kwarg_only)
     6317    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
    13376    0.003    0.000    0.003    0.000 multiarray.py:1043(copyto)
     1829    0.003    0.000    0.100    0.000 tf_inspect.py:238(getfullargspec)
     2106    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     1424    0.003    0.000    0.086    0.000 tf_inspect.py:55(_getargspec)
     4761    0.003    0.000    0.008    0.000 encoder.py:411(_VarintBytes)
     4768    0.003    0.000    0.004    0.000 encoder.py:376(EncodeVarint)
     8351    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:859(__exit__)
    13375    0.003    0.000    0.003    0.000 multiarray.py:75(empty_like)
    10532    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
 1634/387    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
       25    0.003    0.000    2.345    0.094 __init__.py:15(<module>)
     3313    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       50    0.003    0.000    0.007    0.000 enum.py:140(__new__)
     2113    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:884(__init__)
     8351    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2667    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:147(__enter__)
     2763    0.003    0.000    0.012    0.000 tf_stack.py:131(extract_stack)
     4223    0.003    0.000    0.003    0.000 {method 'rsplit' of 'str' objects}
      416    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
    11349    0.003    0.000    0.003    0.000 {built-in method builtins.min}
2108/2107    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     2106    0.003    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     3960    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
      535    0.002    0.000    0.003    0.000 python_message.py:1219(_AddIsInitializedMethod)
     2670    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
     2637    0.002    0.000    0.383    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     2105    0.002    0.000    0.002    0.000 {built-in method _imp._fix_co_filename}
    13698    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     6860    0.002    0.000    0.002    0.000 wire_format.py:80(PackTag)
   3835/7    0.002    0.000    2.812    0.402 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    16472    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1340    0.002    0.000    0.117    0.000 ops.py:6822(to_raw_op)
     2107    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     9378    0.002    0.000    0.003    0.000 enum.py:531(__new__)
     3555    0.002    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      972    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
     6810    0.002    0.000    0.003    0.000 tf_export.py:307(<genexpr>)
     6443    0.002    0.000    0.002    0.000 {built-in method from_bytes}
    16472    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     2099    0.002    0.000    0.003    0.000 python_message.py:422(_DefaultValueConstructorForField)
     2667    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:151(__exit__)
      326    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
    17848    0.002    0.000    0.002    0.000 inspect.py:2517(name)
  624/166    0.002    0.000    0.035    0.000 sre_parse.py:411(_parse_sub)
      501    0.002    0.000    0.006    0.000 fromnumeric.py:70(_wrapreduction)
      125    0.002    0.000    0.004    0.000 numeric.py:2274(within_tol)
     2238    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:311(__enter__)
     3197    0.002    0.000    0.002    0.000 descriptor.py:134(__init__)
     3166    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      100    0.002    0.000    0.006    0.000 module_wrapper.py:84(__init__)
     2099    0.002    0.000    0.002    0.000 python_message.py:633(__init__)
    10658    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      378    0.002    0.000    0.075    0.000 re.py:273(_compile)
      535    0.002    0.000    0.014    0.000 python_message.py:107(__new__)
       80    0.002    0.000    0.074    0.001 __init__.py:5(<module>)
     3810    0.002    0.000    0.002    0.000 inspect.py:158(isfunction)
     8952    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2579    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      535    0.002    0.000    0.002    0.000 python_message.py:785(_AddPropertiesForExtensions)
        4    0.002    0.000    0.002    0.000 {built-in method _ctypes.LoadLibrary}
      508    0.002    0.000    0.004    0.000 _ufunc_config.py:32(seterr)
     1064    0.002    0.000    0.002    0.000 decoder.py:212(SpecificDecoder)
     6704    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
      360    0.001    0.000    0.017    0.000 decorator_utils.py:76(add_notice_to_docstring)
     2637    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
     2637    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:792(find_spec)
      735    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
      731    0.001    0.000    0.012    0.000 dispatch.py:196(add_dispatch_support)
    13090    0.001    0.000    0.001    0.000 inspect.py:2521(default)
      803    0.001    0.000    0.001    0.000 descriptor_pool.py:157(_CheckConflictRegister)
      340    0.001    0.000    0.002    0.000 python_message.py:741(_AddPropertiesForNonRepeatedCompositeField)
     2099    0.001    0.000    0.002    0.000 encoder.py:111(_TagSize)
      125    0.001    0.000    0.010    0.000 numeric.py:2197(isclose)
     2667    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      508    0.001    0.000    0.001    0.000 _ufunc_config.py:132(geterr)
      290    0.001    0.000    0.018    0.000 deprecation.py:308(deprecated_wrapper)
      448    0.001    0.000    0.002    0.000 python_message.py:638(_AddPropertiesForRepeatedField)
     2238    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
     4199    0.001    0.000    0.001    0.000 python_message.py:276(_IsMapField)
     1515    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     9474    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
     5256    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
       74    0.001    0.000    0.001    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
      612    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      535    0.001    0.000    0.001    0.000 python_message.py:1449(_AddPrivateHelperMethods)
      535    0.001    0.000    0.001    0.000 python_message.py:844(_AddHasFieldMethod)
1132/1126    0.001    0.000    0.001    0.000 module_wrapper.py:154(__getattribute__)
      125    0.001    0.000    0.010    0.000 shape_base.py:799(split)
        2    0.001    0.001    0.001    0.001 {built-in method nt.open}
     1944    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      125    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
      902    0.001    0.000    0.002    0.000 module_wrapper.py:208(__setattr__)
        1    0.001    0.001    0.002    0.002 datetime.py:5(<module>)
     9015    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     2051    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        1    0.001    0.001    0.038    0.038 __init__.py:58(<module>)
      626    0.001    0.000    0.002    0.000 encoder.py:130(SpecificSizer)
       32    0.001    0.000    0.003    0.000 doccer.py:10(docformat)
     5200    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
     8833    0.001    0.000    0.001    0.000 inspect.py:2525(annotation)
      535    0.001    0.000    0.001    0.000 python_message.py:800(_AddStaticMethods)
      535    0.001    0.000    0.001    0.000 python_message.py:989(_AddEqualsMethod)
      166    0.001    0.000    0.071    0.000 sre_compile.py:759(compile)
      326    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     5130    0.001    0.000    0.001    0.000 {method 'pack' of 'Struct' objects}
      326    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        1    0.001    0.001    0.042    0.042 math_ops.py:68(<module>)
     1709    0.001    0.000    0.001    0.000 type_checkers.py:93(GetTypeChecker)
      480    0.001    0.000    0.002    0.000 enum.py:71(__setitem__)
       21    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      535    0.001    0.000    0.019    0.000 python_message.py:594(_AddPropertiesForFields)
      130    0.001    0.000    0.001    0.000 python_message.py:1497(__init__)
      535    0.001    0.000    0.002    0.000 descriptor_pool.py:225(_AddDescriptor)
     3482    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      233    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      595    0.001    0.000    0.001    0.000 enum.py:381(__setattr__)
        1    0.001    0.001    0.027    0.027 gen_nn_ops.py:4(<module>)
      250    0.001    0.000    0.008    0.000 timestep.py:17(restart)
      126    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      686    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     5352    0.001    0.000    0.001    0.000 tf_decorator.py:262(decorated_target)
      166    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
     2355    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2658    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
      624    0.001    0.000    0.002    0.000 tf_logging.py:210(vlog)
        1    0.001    0.001    0.011    0.011 tfprof_log_pb2.py:5(<module>)
        1    0.001    0.001    0.042    0.042 standard_ops.py:17(<module>)
      309    0.001    0.000    0.011    0.000 descriptor.py:158(GetOptions)
     1331    0.001    0.000    0.001    0.000 functools.py:67(wraps)
     1830    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
   369/86    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      124    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
     2535    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      101    0.001    0.000    0.001    0.000 gast.py:14(_make_node)
      535    0.001    0.000    0.001    0.000 python_message.py:1133(_AddMergeFromStringMethod)
        1    0.001    0.001    0.001    0.001 socket.py:139(__init__)
       50    0.001    0.000    0.001    0.000 enum.py:182(<setcomp>)
      316    0.001    0.000    0.021    0.000 overrides.py:166(decorator)
       55    0.001    0.000    0.001    0.000 doccer.py:177(indentcount_lines)
      503    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      461    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
        1    0.001    0.001    0.059    0.059 backend.py:19(<module>)
      250    0.001    0.000    8.661    0.035 environments.py:20(reset)
  110/108    0.001    0.000    0.296    0.003 <frozen importlib._bootstrap_external>:1040(create_module)
     4323    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
     3351    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
       88    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     2408    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      616    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
       96    0.001    0.000    0.001    0.000 descriptor.py:946(__init__)
     5843    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     2982    0.001    0.000    0.001    0.000 descriptor.py:95(_Deprecated)
        1    0.001    0.001    0.020    0.020 gen_data_flow_ops.py:4(<module>)
      166    0.001    0.000    0.036    0.000 sre_parse.py:913(parse)
      127    0.001    0.000    0.001    0.000 {built-in method nt.urandom}
      290    0.001    0.000    0.013    0.000 deprecation.py:46(_add_deprecated_function_notice_to_docstring)
     1657    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      535    0.001    0.000    0.001    0.000 python_message.py:491(_AddInitMethod)
